Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
SETD8	5	0.15167810232671525	1.2958474414172678	1.0	1.0
SETDB1	4	0.8782256988685657	-0.7330879853838875	1.0	1.0
SF3B1	42	0.0024962638856341735	0.9268164008233526	0.09129193638890691	0.09129193638890691
SH2B3	10	0.17425695827600218	0.711978086350005	1.0	1.0
SH2D1A	1	0.9929683484962708	-2.4943969806747943	1.0	1.0
SHOC2	9	0.20232327759227292	0.6849267187697676	1.0	1.0
SHQ1	13	0.3503025522014554	0.28126680353562594	1.0	1.0
SLFN11	4	0.6201809738415351	-0.029649523612959538	1.0	1.0
SLX4	23	0.4382696218022674	0.10355742075820247	1.0	1.0
SMAD2	12	0.5389865137066385	0.03215774121523903	1.0	1.0
SMAD3	8	0.4782954541503727	0.16409947975809702	1.0	1.0
SMAD4	31	0.8805702917445885	-0.33265956929712887	1.0	1.0
SMARCA2	11	0.041066000333185824	1.2674984738507522	0.7616319854277716	0.7616319854277716
SMARCA4	133	0.001677448287869799	0.5189392927515621	0.07157112694911143	0.07157112694911143
SMARCB1	5	0.9310310835669766	-0.8824758085109058	1.0	1.0
SMARCD1	3	0.9918275842836618	-1.7003934192998986	1.0	1.0
SMARCE1	0	1.0	-10.0	1.0	1.0
SMO	39	0.010204639769856845	0.7832419487497766	0.26123877810833523	0.26123877810833523
SMYD3	7	0.8589695677641591	-0.5479042437317541	1.0	1.0
SOCS1	4	0.6904213571785516	-0.2001737753404772	1.0	1.0
SOS1	11	0.9562633736350384	-0.7487760944284386	1.0	1.0
SOX17	30	0.132706845602125	0.42692634434114834	1.0	1.0
SOX2	5	0.9967648314936198	-1.5771648945286125	1.0	1.0
SOX9	12	0.9413044929164869	-0.6621987934700622	1.0	1.0
SPEN	23	0.9975087330313189	-0.8861925350156796	1.0	1.0
SPOP	6	0.9352046849201934	-0.8424645150969665	1.0	1.0
