Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
BCL2	16	4	12	0	0.375	0.0011	0.3679
SMAD2	16	7	9	0	0.4922	0.002	0.3814
PBRM1	16	16	0	0	0.0	0.0008	0.4197
SMAD4	16	10	6	0	0.4688	0.0046	0.3716
TP53BP1	16	12	4	0	0.375	0.0015	0.3829
CARM1	16	2	13	1	0.3203	0.0016	0.3691
CUL3	16	15	1	0	0.1172	0.0014	0.4021
ROS1	16	10	2	4	0.5312	0.0125	0.3928
RUNX1	16	13	3	0	0.3047	0.002	0.3756
SRC	15	7	8	0	0.4978	0.0015	0.3869
FLCN	15	7	8	0	0.4978	0.0019	0.3521
NEGR1	15	13	2	0	0.2311	0.0009	0.4031
STAT5B	15	15	0	0	0.0	0.0014	0.4183
MET	15	8	6	1	0.5511	0.0004	0.3638
FBXW7	15	15	0	0	0.0	0.0011	0.4226
BRIP1	15	12	3	0	0.32	0.0012	0.395
LATS1	15	14	1	0	0.1244	0.0007	0.4109
PHOX2B	15	11	4	0	0.3911	0.0017	0.3909
SETDB1	15	3	12	0	0.32	0.0009	0.3554
JAK3	14	14	0	0	0.0	0.0012	0.4015
ESR1	14	14	0	0	0.0	0.0007	0.4058
WWTR1	14	1	13	0	0.1327	0.0001	0.358
TGFBR1	14	12	2	0	0.2449	0.0006	0.3963
TAP2	14	10	4	0	0.4082	0.0011	0.3921
ERCC2	14	10	4	0	0.4082	0.0006	0.3727
SOCS1	14	7	7	0	0.5	0.0003	0.3657
CD274	14	0	14	0	0.0	0.0011	0.3856
GNA11	14	4	10	0	0.4082	0.0009	0.3562
RTEL1	14	4	10	0	0.4082	0.0009	0.3386
CD79B	13	12	1	0	0.142	0.0003	0.385
BIRC3	13	6	7	0	0.497	0.0003	0.3826
MRE11A	13	11	2	0	0.2604	0.0003	0.3909
